Banner Payson Medical Center,12,31318,Payson ,Ariz.,Nonprofit and/or government,Banner Health,25 or fewer,,,West,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.bannerhealth.com/-/media/files/project/bh/patients-visitors/billing/acute_financial-assistance-policy-for-hospital-patients_english.ashx,No,,200% FPL,Blue,200%-400% FPL,Blue,"Yes, according to Appendix A of the Financial Assistance Policy",Bills exceeding 50% of income,Blue,No,Yes,Blue,Yes,Yes*,Blue,"Yes, according to the billing and collection policy, but not a practice of the hospital, according to David Lozano","Yes, according to the billing and collection policy, but not a practice of the hospital, according to David Lozano",Yes*,Blue,Yes,Blue,"*Allowed but not a current practice, according to spokesperson David Lozano","There is a separate billing and collections policy which is mentioned in the FAP, but it is not available online

only available to Banner Health patients, according to David Lozano

https://drive.google.com/file/d/1aW089J-eBkB0nUB2Mifs_qcE0dD8jj2k/view?usp=sharing""",,,
Washington Regional Medical Center,13,40004,Fayetteville,Ark.,Nonprofit and/or government,,More than 250,,,South ,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.wregional.com/main/financial-assistance,"Some, but not all*",,138% FPL,Blue,139%-400% FPL,Blue,Yes,No,Black,Yes (WRMC's primary service area counties in Arkansas),Yes,Blue,Yes,Unclear**,Red,Yes,Yes,Yes,Blue,Unclear**,Red,"*Information included in FAP
**Not mentioned in policy, and hospital did not provide data requested by KHN",,,https://www.wregional.com,,23290
Unity Health-White County Medical Center ,14,40014,Searcy,Ark.,Nonprofit and/or government,Unity Health,101-250,,,South ,Yes,,,"Yes, under the ""patients & visitors"" tab","Yes, but not the first link",Yes,https://res.cloudinary.com/dpmykpsih/image/upload/unity-health-site-301/media/2f8c439317f649c181034779b6987a99/financial-assistance-policy_10_13_2020.pdf,"Some, but not all*",,150% FPL,Blue,150%-250% FPL,Blue,Yes,"Yes, but no standards specified",Blue,"No, according to Leslie Altom, director of patient access",Yes**,Purple,Yes,Yes**,Purple,"Yes. Not mentioned in policy, but is a practice, according to Leslie Altom, Director of Patient Access","Yes. Not mentioned in policy, but is a practice, according to Leslie Altom, Director of Patient Access",Yes**,Purple,No,Blue,"*Information included in FAP
**According to Leslie Altom, director of patient access",,,https://www.unity-health.org,,63020
Conway Regional Health System,15,40029,Conway,Ark.,Nonprofit and/or government,,101-250,,,South ,Yes,,,No,No,Yes,https://www.conwayregional.org/docs/default-source/crhs/business-office/financial-assistance-policy-010122-english-final-2022.pdf?sfvrsn=d3c089e8_3,No,,225% FPL,Blue,226%-300% FPL,Blue,Yes,"Yes, but no standards specified",Blue,No,Unclear*,Red,Yes,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,"https://www.conwayregional.org/docs/default-source/crhs/business-office/financial-assistance-plain-language-summary.final.-010116.pdf?sfvrsn=d29ccd85_3

Patients who unable to pay their accounts due to incarceration are not eligible for financial assistance (FAP page 3, paragraph 8).",https://www.conwayregional.org/about/blog/media-contacts,http://www.conwayregional.org/,,15190
Medical Center of South Arkansas,16,40088,El Dorado,Ark.,For-profit,Community Health Systems,101-250,,,South ,Yes,,,No,No,No,,No,,100% FPL*,Purple,100%-400% FPL (uninsured only)*,Purple,"Yes, according to website","Yes, but no standards specified*",Purple,"No, according to website",Yes*,Purple,"No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt",No*,Purple,"No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt",Yes*,Purple,No*,Purple,*According to spokesperson Rebecca Pitt,"The financial information explains that they give discounts for patients who need financial assistance, but does not provide specifics on the FPL to qualify",,,,21070
Baptist Health Medical Center-Little Rock,17,40114,Little Rock,Ark.,Nonprofit and/or government,Baptist Health,More than 250,,,South ,Yes,,,"Yes, bottom of page",Yes,Yes,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2022/02/Baptist-Health-Charity-Guidelines-222-2.15.pdf,Yes,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2020/09/Baptist-Health-Collection-Policy-.pdf,300% FPL,Blue,300%-400% FPL,Blue,"Yes, assets less than $8,000 individually or $12,000 combined household",No,Black,No,No,Blue,Yes,No,Blue,No,Yes,Yes,Blue,No,Blue,,https://drive.google.com/file/d/1-zTkWYw0WBwFgiOhaSuS8A1LuDdg-2xB/view?usp=sharing,"Baptist Health can place liens or garnish wages, however, an automated charity calculator is used for all hospital patients prior to being sent to bad debt/collection agency. Any patient qualifying for financial aid would be moved to charity instead of bad debt, according to Julie Carpenter, Corporate Vice President.",https://www.baptist-health.com/location/baptist-health-medical-center-little-rock/,,41000
Baptist Health Medical Center-Conway,18,40154,Conway,Ark.,Nonprofit and/or government,Baptist Health,101-250,,,South ,Yes,,,"Yes, bottom of page",Yes,Yes,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2022/02/Baptist-Health-Charity-Guidelines-222-2.15.pdf,Yes,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2020/09/Baptist-Health-Collection-Policy-.pdf,300% FPL,Blue,300-400% FPL,Blue,"Yes, assets less than $8,000 individually or $12,000 combined household",No,Black,No,No,Blue,Yes,No,Blue,No,Yes,Yes,Blue,No,Blue,,https://drive.google.com/file/d/1-zTkWYw0WBwFgiOhaSuS8A1LuDdg-2xB/view?usp=sharing,"Baptist Health can place liens or garnish wages, however, an automated charity calculator is used for all hospital patients prior to being sent to bad debt/collection agency. Any patient qualifying for financial aid would be moved to charity instead of bad debt, according to Julie Carpenter, Corporate Vice President.",,,15190
Baptist Memorial Hospital-Crittenden,19,40156,West Memphis,Ark.,Nonprofit and/or government,Baptist Memorial Health Care Corp.,25 or fewer,,,South ,Yes,,,"Yes, bottom of page","Yes, but not the first link",Yes,https://www.baptistonline.org/patients-and-visitors/financial-assistance,"Some, but not all",https://www.baptistonline.org/patients-and-visitors/financial-assistance,200% FPL,Blue,200%-400% FPL,Blue,No,No,Black,Yes (United States),Yes,Blue,Yes,No*,Purple,Yes,Yes,Yes,Blue,No*,Purple,*According to spokesperson Kimberly Alexander,,"The hospital suspended suing patients and placing liens or garnishing wages when Covid-19 began, according to Kimberly Alexander.",https://www.baptistonline.org,,74540
McGehee Hospital,20,41308,McGehee,Ark.,Nonprofit and/or government,,25 or fewer,,,South ,Yes,,,No,No search tool,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,,*No available policy and hospital did not provide data requested by KHN,"The site has the financial assistance application, but no other information about who qualifies",,,,42770
Chicot Memorial Medical Center,21,41328,Lake Village,Ark.,Nonprofit and/or government,,51-100,,,South ,Yes,,,No,Yes,Yes,https://www.chicotmemorial.com/pfs/,"Some, but not all ",https://www.chicotmemorial.com/pfs/,100% FPL,Blue,100%-200% FPL,Blue,No,No,Black,No,Unclear*,Red,Yes,Unclear*,Red,Yes,Yes,Yes,Blue,Unclear*,Red,*Not mentioned in policy and hospital did not provide data requested by KHN,,,http://www.chicotmemorial.com/,,38170
St. Joseph Hospital Eureka,22,50006,Eureka,Calif.,Nonprofit and/or government,Providence,101-250,,,West,Yes,,Yes,No,"No (Not a direct link. You have to click through a few location pages first -- northern california, etc.)",Yes,https://www.providence.org/obp/norcal/financial-assistance#tabcontent-6-pane-2,Yes,https://www.providence.org/-/media/project/psjh/shared/files/bill-pay/bad-debt-assignment-policy.pdf?la=en&rev=3420a39312854fa4a8b7f2bf86b38e56&hash=C668E917060339F394087174AEB1AC12,300% FPL,Blue,300%-400% FPL,Blue,Yes,"Yes, but no standards specified",Blue,No,No,Blue,Yes,No,Blue,No,No,No,Blue,No,Blue,,https://www.providence.org/about/contactus/media-requests,,https://www.providence.org/locations/norcal/st-joseph-hospital-eureka,,57828
Riverside Community Hospital,23,50022,Riverside,Calif.,For-profit,HCA Healthcare,More than 250,,,West,Yes,,,No,No,No,,No,,200% FPL*,Purple,201%-400% FPL*,Purple,"No, according to HCA spokesman Harlow Sumerford",Patient liability capped at 4% of income**,Purple,"No, according to HCA spokesman Harlow Sumerford",No**,Purple,"Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford",No**,Purple,"No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary",No**,Purple,No**,Purple,"*According to online summary
**According to spokesperson Harlow Sumerford","-All information about financial assistance and billing/collections came from HCA corporate document and spox that patient would never find

There is a ""patient financial resources"" tab, but there is only FAQs, no FAP.

David Maxfield
Director, Marketing & Communications
Phone: (951) 788-3391
Cell: (951) 455-6097
David.Maxfield@hcahealthcare.com",,https://riversidecommunityhospital.com/,,62000
Antelope Valley Medical Center,24,50056,Lancaster,Calif.,Nonprofit and/or government,,More than 250,,,West,Yes,,,No,"Yes, but it's called ""billing and insurance""",Yes,https://www.avmc.org/images/PFS-RI.1-PATIENT-FINANCIAL-ASSISTANCE-POLICY.pdf,No,,200% FPL,Blue,200%-400% FPL ,Blue,No,"Yes, but no standards specified",Blue,No,Yes,Blue,"Yes, according to the billing and collection policy",No*,Purple,"Yes, according to the billing and collection policy","Yes, according to the billing and collection policy",Yes,Blue,No*,Purple,*According to spokesperson Cynthia Frausto,"Recently changed its name from Antelope Valley Hospital to Antelope Valley Medical Center in Feb 2022

B&C Not available online - must be requested

https://drive.google.com/file/d/1elEmSvH8pggF8kSrnpml8NJA-PYu5h-I/view?usp=sharing""",,https://www.avmc.org/about-us/,,40130
Sharp Memorial Hospital,25,50100,San Diego,Calif.,Nonprofit and/or government,Sharp HealthCare,More than 250,,,West,Yes,,,No,Yes,Yes,https://www.sharp.com/patient/billing/upload/Financial-Assistance-for-Uninsured-or-Low-Income-Patients-15602-99.pdf,"Some, but not all",https://www.sharp.com/patient/billing/upload/Billing-Collections-and-Bad-Debt-Review-Sharp-HealthCare-Policy-15801.pdf,"200% FPL*
",Blue,200%-400% FPL*,Blue,"Yes, according to the financial assistance application, but generally not used according to Jennifer Chatfield",Patients with income below 400% FPL and bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No,Blue,"No, not mentioned in the Billing and Collection Policy but not a practice of the hospital, according to Jennifer Chatfield","No, not mentioned in the Billing and Collection Policy but not a practice of the hospital, according to Jennifer Chatfield",No**,Purple,Yes,Blue,"*For uninsured patients
**According to spokesperson Jennifer Chatfield","Every unfunded patient that does not qualify for any other coverage is automatically discounted 25%. An unfunded patient would include uninsured, but would also include that there is no other funding – whether it be a grant, a third party lien, or another source of funding, according to Jennifer Chatfield.",,https://www.sharp.com,,66000
Dameron Hospital,26,50122,Stockton,Calif.,Nonprofit and/or government,Adventist Health,101-250,,,West,Yes,,,"Yes, under ""patients & visitors"" tab",Yes,Yes,https://res.cloudinary.com/dpmykpsih/image/upload/dameron-hospital-site-323/media/4f087941ec93466e8be40fa0fa1e5ee4/2021-charity_care_discount_payment_policy_-_procedure_20-01-0034_4web.pdf,"Some, but not all",https://res.cloudinary.com/dpmykpsih/image/upload/dameron-hospital-site-323/media/4f087941ec93466e8be40fa0fa1e5ee4/2021-charity_care_discount_payment_policy_-_procedure_20-01-0034_4web.pdf,150% FPL,Blue,150%-350% FPL,Blue,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility",Patients with income below 300% and bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No*,Purple,Yes,Yes,Yes,Blue,No*,Purple,*According to spokesperson Japhet De Oliveira,,,https://www.dameronhospital.org,,75000
Community Hospital of the Monterey Peninsula,27,50145,Monterey,Calif.,Nonprofit and/or government,Montage Health,More than 250,,,West,Yes,,,"Yes, under ""patients & family resources"" tab",Yes,Yes,https://www.montagehealth.org/app/files/public/a484195b-6afc-4e0f-9876-4cd3e56dde62/patient-family/financial-assistance-policy-english.pdf,"Some, but not all",https://www.montagehealth.org/app/files/public/b96879b4-2d3a-4750-b813-11136efc073f/General%20Administrative%20Collection%20Policy%20.pdf,300% FPL,Blue,300%-500% FPL,Blue,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility. Assets must not exceed $50,000",Patients with income below 400% FPL and bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No*,Purple,"Yes, according to the billing and collection policy. Though very rarely and under strict criteria, according to Moncia Sciuto","Yes, according to the billing and collection policy. It is a very rare occurrence, according to Allison Stegge",Yes,Blue,Yes,Blue,*According to spokesperson Monica Sciuto,,"Liens/wages: It is a very rare occurrence. The policy affords the option, but executive management would have to sign off (an agency cannot do this). Any wage garnishment is only at the order of the court, and also a very rare occurrence. -- Allison Smith",,,48914
California Hospital Medical Center ,28,50149,Los Angeles,Calif.,Nonprofit and/or government,CommonSpirit Health,More than 250,,,West,Yes,,,No,Yes,Yes,https://www.dignityhealth.org/socal/locations/californiahospital/patients-and-visitors/for-patients/billing-and-payment/financial-assistance,"Some, but not all",https://www.dignityhealth.org/socal/locations/californiahospital/patients-and-visitors/for-patients/billing-and-payment/financial-assistance,250% FPL,Blue,251%-500% FPL,Blue,Yes,Bills exceeding 30% of income and assets,Blue,No,Yes,Blue,Yes,Yes*,Blue,"No; Not mentioned in policy, but not a practice of the hospital, according to Dan Loeterman","No; Not mentioned in policy, but not a practice of the hospital, according to Dan Loeterman (wage garnishments barred by California)",No**,Purple,No**,Purple,"*Allowed, but not current practice, according to Dan Loeterman
**According to spokesperson Dan Loeterman","FAP -- California Addendum:
https://www.dignityhealth.org/content/dam/dignity-health/documents/legal/bay-area/dominican-hospital/fap/en_fapa_ca.pdf

FAP says free care is below 200% FPL and discounted is 200-400% FPL, but in the California Addendum expands this to 250% FPL for free care and 250-500% FPL for discounted care.",,,,44000
Adventist Health Reedley,29,50192,Reedley,Calif.,Nonprofit and/or government,Adventist Health,26-50,,,West,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.adventisthealth.org/documents/financial-assistance/ENG_PFS-112_Financial-Assistance-Policy.pdf,"Some, but not all",https://www.adventisthealth.org/documents/financial-assistance/ENG_PFS-112_Financial-Assistance-Policy.pdf,200% FPL,Blue,200%-400% FPL,Blue,Yes,Bills exceeding qualifying assets,Blue,No,Yes,Blue,Yes,Yes,Blue,,,Yes*,Purple,,No*,*According to spokesperson Japhet De Oliveira,,,https://www.adventisthealth.org/reedley/,,60242
Alameda Hospital,30,50211,Alameda,Calif.,Nonprofit and/or government,Alameda Health System,101-250,,,West,Yes,,,No,No,Yes,http://www.alamedahealthsystem.org/wp-content/uploads/2021/04/HOSPITAL-FINANCIAL-ASSISTANCE-AND-CHARITY-CARE.pdf,No,,350% FPL*,Blue,n/a,Black,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility. Assets must not exceed $50,000",Patients with income below 350% FPL and bills exceeding 10% of income,Blue,No,No**,Purple,Yes,No**,Purple,"No, not mentioned inthe Financial Assistance Policy, but not a practice of the hospital, according to Eleanor Ajala","No, not mentioned inthe Financial Assistance Policy, but not a practice of the hospital, according to Eleanor Ajala",No**,Purple,No**,Purple,"*For uninsured patients
**According to spokesperson Eleanor Ajala","Self pay discount for uninsured patients is 50%.

FAP mentions Debt Collection policy, but it's not posted online.",,,,00562
Adventist Health Simi Valley ,31,50236,Simi Valley ,Calif.,Nonprofit and/or government,Adventist Health,101-250,,,West,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.adventisthealth.org/documents/financial-assistance/ENG_PFS-112_Financial-Assistance-Policy.pdf,"Some, but not all",https://www.adventisthealth.org/documents/financial-assistance/ENG_PFS-112_Financial-Assistance-Policy.pdf,200% FPL,Blue,200%-400% FPL,Blue,Yes,Bills exceeding qualifying assets,Blue,No,Yes,Blue,Yes,Yes,Blue,"Not mentioned in the Financial Assistance Policy but is a practice of collection agencies, according to Japhet De Oliveira","Not mentioned in the Financial Assistance Policy but is a practice of collection agencies, according to Japhet De Oliveira",Yes*,Purple,No*,Purple,*According to spokesperson Japhet De Oliveira,,,https://www.adventisthealth.org/simi-valley/about-us/contact-us/,
Marshall Medical Center,32,50254,Placerville,Calif.,Nonprofit and/or government,,101-250,,,West,Yes,,,Yes,Yes,Yes,https://www.marshallmedical.org/documents/content/Financial-Assistance-Program-with-attachemtns-eff.-02.01.2022.pdf,"Some, but not all",https://www.marshallmedical.org/images/Debt-Collection-Practice.2022.pdf,149% FPL,Blue,149%-450% FPL,Blue,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility. Assets will only be considered for free care, not discounted care","Patients with bills exceeding $50,000 or exceeding 10% of income",Blue,No,Yes,Blue,Yes,No*,Purple,"Yes, according to FAP, but not a practice of the hospital, according to Karen Dostart.","No, according to FAP",Yes,Blue,No*,Purple,"*According to Karen Dostart, director of hospital patient billing & payer contracting
**Allowed, but not current practice, according to Dostart",Old Collection Policy: https://www.marshallmedical.org/images/Debt-Collection-Practice.2014.pdf,,https://www.marshallmedical.org/patients-visitors/patient-information/insurance-billing-information/business-office/financial-assistance/,,57540
Contra Costa Regional Medical Center,33,50276,Martinez,Calif.,Nonprofit and/or government,,101-250,,,West,Yes,,,No,Yes,Yes,https://cchealth.org/insurance/charitycare/pdf/charity_care_policy.pdf,No,,150% FPL*,Blue,150%-350% FPL*,Blue,"Yes, assets less than $2,000 per individual or $3,000 per family",Patients with income below 350% FPL bills exceeding 10% of income,Blue,No,Yes**,Purple,Yes,No**,Purple,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Will Harper","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Will Harper",No**,Purple,No**,Purple,"*For uninsured patients
**According to spokesperson Will Harper","First $10,000 in assets will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility.

Discount Payment Program: https://cchealth.org/insurance/charitycare/pdf/discount_policy.pdf",,https://cchealth.org/insurance/charitycare/,,46114
Stanford Health Care-ValleyCare,34,50283,Pleasanton,Calif.,Nonprofit and/or government,Stanford Health Care,101-250,,Yes,West,Yes,,Yes,No,"Yes, but not the first link",Yes,https://stanfordhealthcare.org/tri-valley/patients-and-visitors/financial-assistance.html,Yes,https://stanfordhealthcare.org/tri-valley/patients-and-visitors/financial-assistance.html,400% FPL,Blue,n/a,Black,No,Bills exceeding 10% of income,Blue,"No, but priority for charity care is given to patients that live close to the hospital",No,Blue,Yes,No,Blue,No,No,No,Blue,No,Blue,,Bills exceeding 20% of income considered case by case,,,,57792
El Camino Hospital-Mountain View Campus,35,50308,Mountain View,Calif.,Nonprofit and/or government,,More than 250,,,West,Yes,,Yes,No,Yes,Yes,https://www.elcaminohealth.org/sites/default/files/2022-04/financial-assistance-discounted-charity-care-eligibility-procedures-review-process422.pdf,Yes,https://www.elcaminohealth.org/sites/default/files/2022-04/collection-practices-and-collection-agency-management422.pdf,400% FPL,Blue,n/a,Black,No,No,Black,No,No,Blue,Yes,No,Blue,"No

*Old policy did not mention sueing patients, but the new policy specifically forbids it*",No,No,Blue,No,Blue,,"FAP is in the process of being updated and the new policy will be published on the website soon, according to Nikki Arnone on 3/18/22. 

New policy has been added 5/6/22. Old policy is still on their website too on the side ""Tools and resources"" button on the FAP website page.","“At El Camino Health, we do not use Extraordinary Collection Actions, and our collection policies specifically prohibit any actions like this for our hospitals and collection vendors. In addition, we do not allow our vendors to charge our patients interest or report their debt to credit bureaus.”
 -- Christopher Brown

""Megan – The Word document we provided contains the governing policy. The pdf on the website does not reflect current Financial Assistance Policy.
 
Thanks, David Jackson"" (3/28/22)",https://www.elcaminohealth.org,,49684
